row_index,horizon,k_used,mean_distance,min_distance,memory_candidate,split,candidate,n,mean_mse_delta,win_rate,harm_rate
200,96,9,2.9943494994218187,2.0623559772398594,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
268,96,9,2.2386986494021226,1.204443463935083,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
269,96,9,1.6203614618432693,0.7420530520555244,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
270,96,9,3.703311884320934,3.2485689676093834,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
271,96,9,2.254543910915106,1.1202589490510733,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
272,96,9,4.103173707108018,1.3727604368060702,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
273,96,9,1.9075323859257456,1.204443463935083,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
274,96,9,2.164334644223807,1.5292774634054138,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
275,96,9,2.8793130720406017,1.8039285595289765,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
276,96,9,2.669449528515994,1.9940661921673668,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
277,96,9,3.20769306196234,2.314697968217981,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
278,96,9,2.085389509246618,1.7391959427540071,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
279,96,9,2.160940186506144,1.7363954752643458,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
280,96,9,1.537980228035905,1.0621658767229325,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
281,96,9,1.5842421788413583,0.7420530520555244,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
282,96,9,2.1319465569011364,1.203817777070544,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
283,96,9,3.2905156308467998,2.6889137244372487,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
284,96,9,2.383672812090634,2.009915587244868,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
